"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
"Xi meets Brazilian president, calling for more solidarity, coordination ","Xi Jinping, Michel Temer","Xi meets Brazilian president, calling for more solidarity, coordination ","Xi Jinping, Michel Temer","Xi meets Brazilian president, calling for more solidarity, coordination ","Xi Jinping, Michel Temer","Full text of Chinese president's speech at BRICS Business Forum in South Africa, Xi says China firmly supports free trade, opens market with new platforms , Xi urges BRICS countries to deepen strategic partnership, open up 2nd ""Golden Decade"", Xi, Putin exchange views on current int'l situation, Xi, Erdogan agree to enhance China-Turkey cooperation, China, Uganda pledge to deepen bilateral cooperation, Xi says China to boost closer development partnership with India, Xi's visit deepens South-South cooperation, upholds multilateralism, Int'l community eyes outcomes of BRICS Summit in Johannesburg, Xi urges BRICS countries to deepen strategic partnership, open up 2nd ""Golden Decade"" , Xi meets Brazilian president, calling for more solidarity, coordination ","Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Recep Erdogan, Xi Jinping, Yoweri Museveni, Xi Jinping, Narendra Modi, Xi Jinping, Xi Jinping, Michel Temer, Vladimir Putin, Narendra Modi, Cyril Ramaphosa, Xi Jinping, Xi Jinping, Michel Temer",25.7.2018 - 26.7.2018,26.7.2018,26.7.2018,TRUE,26.7.2018,"July 26, 2018",South Africa,Johannesburg,,http://www.xinhuanet.com/english/2018-07/26/c_137350135.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28621
"China, Rwanda vow to write new chapter in bilateral ties ","Xi Jinping, Paul Kagame","China, Rwanda vow to write new chapter in bilateral ties ","Xi Jinping, Paul Kagame","China, Rwanda vow to write new chapter in bilateral ties ","Xi Jinping, Paul Kagame","China, Rwanda vow to write new chapter in bilateral ties ","Xi Jinping, Paul Kagame",23.7.2018,23.7.2018,23.7.2018,TRUE,23.7.2018,"July 23, 2018",Rwanda,Kigali,,http://www.xinhuanet.com/english/2018-07/24/c_137343708.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28595
Chinese president arrives in South Africa for state visit,Xi Jinping,Chinese president arrives in South Africa for state visit,Xi Jinping,Chinese president arrives in South Africa for state visit,Xi Jinping,Chinese president arrives in South Africa for state visit,Xi Jinping,23.7.2018,23.7.2018,23.7.2018,TRUE,23.7.2018,"July 23, 2018",South Africa,Pretoria,,http://www.xinhuanet.com/english/2018-07/24/c_137343687.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28596
Xi attends handover ceremony of Senegal's national wrestling arena,"Xi Jinping, Macky Sall",Xi attends handover ceremony of Senegal's national wrestling arena,"Xi Jinping, Macky Sall",Xi attends handover ceremony of Senegal's national wrestling arena,"Xi Jinping, Macky Sall","Xi arrives in Senegal for state visit, Chinese, Senegalese presidents pledge to create better future for ties, Xi attends handover ceremony of Senegal's national wrestling arena","Xi Jinping, Macky Sall, Mohammed Dionne, Xi Jinping, Macky Sall, Xi Jinping, Macky Sall",21.7.2018 - 22.7.2018,22.7.2018,22.7.2018,TRUE,22.7.2018,"July 22, 2018",Senegal,Dakar,,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1579387.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28607
"China, UAE agree to lift ties to comprehensive strategic partnership ","Xi Jinping, Sheikh Mohammed bin Rashid Al Maktoum, Sheikh Mohammed bin Zayed Al Nahyan","China, UAE agree to lift ties to comprehensive strategic partnership ","Xi Jinping, Sheikh Mohammed bin Rashid Al Maktoum, Sheikh Mohammed bin Zayed Al Nahyan","China, UAE agree to lift ties to comprehensive strategic partnership ","Xi Jinping, Sheikh Mohammed bin Rashid Al Maktoum, Sheikh Mohammed bin Zayed Al Nahyan","Chinese president meets Crown Prince of Abu Dhabi on China-UAE ties, China, UAE to boost Belt and Road cooperation , China, UAE agree to lift ties to comprehensive strategic partnership ","Xi Jinping, Sheikh Mohammed bin Zayed Al Nahyan, Xi Jinping, Xi Jinping, Sheikh Mohammed bin Rashid Al Maktoum, Sheikh Mohammed bin Zayed Al Nahyan",20.7.2018,20.7.2018,20.7.2018,TRUE,20.7.2018,"July 20, 2018",United Arab Emirates,Abu Dhabi,,http://www.xinhuanet.com/english/2018-07/21/c_137338423.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28585
"Xi calls for expanding ""BRICS Plus"" cooperation to address common challenges","Xi Jinping, Cyril Ramaphosa, Michel Teme, Vladimir Putin, Narendra Modi","Xi calls for expanding ""BRICS Plus"" cooperation to address common challenges","Xi Jinping, Cyril Ramaphosa, Michel Teme, Vladimir Putin, Narendra Modi","Xi calls for expanding ""BRICS Plus"" cooperation to address common challenges","Xi Jinping, Cyril Ramaphosa, Michel Teme, Vladimir Putin, Narendra Modi","Xi calls for expanding ""BRICS Plus"" cooperation to address common challenges","Xi Jinping, Cyril Ramaphosa, Michel Teme, Vladimir Putin, Narendra Modi",27.6.2018,27.6.2018,27.6.2018,TRUE,27.6.2018,"June 27, 2018",South Africa,Johannesburg,,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1581284.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=28679
Xi Jinping Meets with King Willem-Alexander of the Netherlands,"Xi Jinping,  King Willem-Alexander and Queen Máxima",Xi Jinping Meets with King Willem-Alexander of the Netherlands,"Xi Jinping,  King Willem-Alexander and Queen Máxima",Xi Jinping Meets with King Willem-Alexander of the Netherlands,"Xi Jinping,  King Willem-Alexander and Queen Máxima",Xi Jinping Meets with King Willem-Alexander of the Netherlands,"Xi Jinping,  King Willem-Alexander and Queen Máxima",7.2.2018,7.2.2018,7.2.2018,TRUE,7.2.2018,"February 07, 2018",--,--,,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1533345.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=27890
PLA Macao Garrison has new commander,"Xi Jinping, Zhengrong Liao, Yubai Yuan",PLA Macao Garrison has new commander,"Xi Jinping, Zhengrong Liao, Yubai Yuan",PLA Macao Garrison has new commander,"Xi Jinping, Zhengrong Liao, Yubai Yuan",PLA Macao Garrison has new commander,"Xi Jinping, Zhengrong Liao, Yubai Yuan",6.1.2018,6.1.2018,6.1.2018,TRUE,6.1.2018,"January 06, 2018",Macao SAR,,,http://english.chinamil.com.cn/view/2018-01/07/content_7897750.htm,,http://www.chinavitae.com//vip/index.php?mode=show&id=27672
"Xi's visit to deepen friendship, promote comprehensive cooperation",Xi Jinping,"Xi's visit to deepen friendship, promote comprehensive cooperation",Xi Jinping,"Xi's visit to deepen friendship, promote comprehensive cooperation",Xi Jinping,"Xi meets Bounnhang again on historic, fruitful visit to Laos, Xi urges young generations to advance China-Laos friendship, Xi calls for more China-Laos cooperation in public welfare, China, Laos agree to increase legislative exchanges, Chinese president meets Lao PM on ties, Xi's visit to deepen friendship, promote comprehensive cooperation","Xi Jinping, Bounnhang Vorachit, Xi Jinping, Xi Jinping, Bounnhang Vorachit, Xi Jinping, Pany Yathotu, Xi Jinping, Thongloun Sisoulith, Xi Jinping",14.11.2017,14.11.2017,14.11.2017,TRUE,14.11.2017,"November 14, 2017",Laos,Vientiane,,http://news.xinhuanet.com/english/2017-11/14/c_136749635.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=27434
"Xi's APEC attendance, state visits chart new course for China's major-country diplomacy in new era",Xi Jinping,"Xi's APEC attendance, state visits chart new course for China's major-country diplomacy in new era",Xi Jinping,"Xi's APEC attendance, state visits chart new course for China's major-country diplomacy in new era",Xi Jinping,"Xi calls on China, Vietnam to enhance high-level strategic communication , Xi's APEC attendance, state visits chart new course for China's major-country diplomacy in new era","Xi Jinping,  Tran Dai Quang, Xi Jinping",13.11.2017 - 14.11.2017,14.11.2017,14.11.2017,TRUE,14.11.2017,"November 14, 2017",Vietnam,,,http://news.xinhuanet.com/english/2017-11/15/c_136752428.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=27442
"Xi presents China's ""new journey"" in first overseas speech after historic Party congress ",Xi Jinping,"Xi presents China's ""new journey"" in first overseas speech after historic Party congress ",Xi Jinping,"Xi presents China's ""new journey"" in first overseas speech after historic Party congress ",Xi Jinping,"Xi, Putin pledge to enhance regional, int'l cooperation, Chinese president calls for cooperation between APEC, ASEAN , China's mobile payment transactions surpass 158 trillion RMB, Xi advises against closed-door development, Xi pledges broader opening-up, greater benefits for world, Xi presents China's ""new journey"" in first overseas speech after historic Party congress ","Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping",10.11.2017 - 11.11.2017,11.11.2017,11.11.2017,TRUE,11.11.2017,"November 11, 2017",Vietnam,Da Nang,,http://news.xinhuanet.com/english/2017-11/11/c_136743447.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=27423
Chinese President Xi's signed article on Vietnamese media,Xi Jinping,Chinese President Xi's signed article on Vietnamese media,Xi Jinping,Chinese President Xi's signed article on Vietnamese media,Xi Jinping,Chinese President Xi's signed article on Vietnamese media,Xi Jinping,9.11.2017,9.11.2017,9.11.2017,TRUE,9.11.2017,"November 09, 2017",Vietnam,Hanoi,,http://news.xinhuanet.com/english/2017-11/09/c_136740210.htm,,http://www.chinavitae.com//vip/index.php?mode=show&id=27418
Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era introduced to Cambodian university students,Xi Jinping,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era introduced to Cambodian university students,Xi Jinping,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era introduced to Cambodian university students,Xi Jinping,Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era introduced to Cambodian university students,Xi Jinping,8.11.2017,8.11.2017,8.11.2017,TRUE,8.11.2017,"November 08, 2017",Cambodia,Phnom Penh,,http://news.xinhuanet.com/english/2017-11/08/c_136737926.htm,,http://www.chinavitae.com//vip/index.php?mode=show&id=27409
CPC has established thoughts on building strong army,Xi Jinping,CPC has established thoughts on building strong army,Xi Jinping,CPC has established thoughts on building strong army,Xi Jinping,CPC has established thoughts on building strong army,Xi Jinping,1.8.2017,1.8.2017,1.8.2017,TRUE,1.8.2017,"August 01, 2017",,,,http://news.xinhuanet.com/english/2017-08/01/c_136490527.htm,,http://www.chinavitae.com//vip/index.php?mode=show&id=26990
"Xi, Trump meet on ties, hot-spot issues on G20 sidelines ","Xi Jinping, Donald Trump","Xi, Trump meet on ties, hot-spot issues on G20 sidelines ","Xi Jinping, Donald Trump","Xi, Trump meet on ties, hot-spot issues on G20 sidelines ","Xi Jinping, Donald Trump"," Xi Jinping eyes more stable, rapid development of ties with Britain , Full text of Chinese President Xi's speech at G20 Hamburg Summit, Xi calls on G20 to champion open world economy, foster new growth drivers , Xi Jinping Meets with Prime Minister Shinzo Abe of Japan, Xi Jinping Meets with President Emmanuel Macron of France, G20 needs to build digital economy friendly to growth, jobs, China calls for more G20 efforts on African development, digital economy , Xi, Trump meet on ties, hot-spot issues on G20 sidelines ","Xi Jinping, Theresa May, Xi Jinping, Xi Jinping, Xi Jinping, Shinzo Abe, Xi Jinping, Emmanuel Macron, Xi Jinping, Xi Jinping, Xi Jinping, Donald Trump",7.7.2017 - 8.7.2017,8.7.2017,8.7.2017,TRUE,8.7.2017,"July 08, 2017",Germany,Hamburg,,http://news.xinhuanet.com/english/2017-07/09/c_136428753.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26846
"Xi, Merkel watch friendly football match between Chinese, German youth teams ","Xi Jinping, Angela Merkel","Xi, Merkel watch friendly football match between Chinese, German youth teams ","Xi Jinping, Angela Merkel","Xi, Merkel watch friendly football match between Chinese, German youth teams ","Xi Jinping, Angela Merkel","Xi says China, Germany in new era of high-level, comprehensive strategic cooperation , Xi, Merkel launch Panda garden in Berlin zoo, China, Germany pledge to take bilateral ties to higher levels, Xi, Merkel watch friendly football match between Chinese, German youth teams ","Xi Jinping, Frank-Walter Steinmeier, Liyuan Peng, Elke Buedenbender, Xi Jinping, Angela Merkel, Xi Jinping, Angela Merkel, Xi Jinping, Angela Merkel",5.7.2017,5.7.2017,5.7.2017,TRUE,5.7.2017,"July 05, 2017",Germany,Berlin,,http://news.xinhuanet.com/english/2017-07/06/c_136420693.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26820
Stronger China-Russia ties contribute to global stability,"Xi Jinping, Vladimir Putin",Stronger China-Russia ties contribute to global stability,"Xi Jinping, Vladimir Putin",Stronger China-Russia ties contribute to global stability,"Xi Jinping, Vladimir Putin","Xi arrives in Moscow for state visit to Russia, Stronger China-Russia ties contribute to global stability","Xi Jinping, Xi Jinping, Vladimir Putin",3.7.2017 - 4.7.2017,4.7.2017,4.7.2017,TRUE,4.7.2017,"July 04, 2017",Russia,Moscow,,http://news.xinhuanet.com/english/2017-07/05/c_136420250.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26825
Xi left Astana for home after a state visit to Kazakhstan,Xi Jinping,Xi left Astana for home after a state visit to Kazakhstan,Xi Jinping,Xi left Astana for home after a state visit to Kazakhstan,Xi Jinping,"Chinese president arrives in Kazakhstan for state visit, SCO summit, Expo 2017 , Xi visits Chinese pavilion at Astana Expo, eyes better cross-border transportation, Xi meets Spanish King Felipe VI on cooperation in B&R construction, China, Tajikistan mull high-end, innovative cooperation under Belt & Road Initiative, Xi urges more pragmatic cooperation with Turkmenistan under Belt and Road Initiative, SCO leaders strongly condemn all forms of terrorism,  Xi Jinping, other leaders pose for a group photo before the opening ceremony of the Expo 2017, Xi, Putin meet on bilateral ties, SCO development , Xi left Astana for home after a state visit to Kazakhstan","Xi Jinping, Askar Mamin, Xi Jinping, Nursultan Nazarbayev, Xi Jinping,  Felipe VI, Xi Jinping, Emomali Rahmon, Xi Jinping, Gurbanguly Berdymukhamedov, Xi Jinping, Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping",7.6.2017 - 10.6.2017,10.6.2017,10.6.2017,TRUE,10.6.2017,"June 10, 2017",Kazakhstan,Astana,,http://news.xinhuanet.com/english/2017-06/11/c_136355904.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26690
