date,link,location,title,President
"December 11, 2017, 13:50",http://en.kremlin.ru/events/president/trips/56360,Egypt,Vladimir Putin arrived on working visit in Egypt,Putin
"December 11, 2017, 13:00",http://en.kremlin.ru/events/president/trips/56365,Syria,Vladimir Putin visited Khmeimim Air Base in Syria,Putin
"November 30, 2017, 13:30",http://en.kremlin.ru/events/president/trips/56265,Belarus,The President of Russia arrived in Minsk for a CSTO Collective Security Council meeting,Putin
"November 10, 2017, 11:15",http://en.kremlin.ru/events/president/trips/56051,Vietnam,Meeting with President of the Philippines Rodrigo Duterte,Putin
"November 1, 2017, 13:30",http://en.kremlin.ru/events/president/trips/55998,Iran,Vladimir Putin arrived in Tehran,Putin
"October 2, 2017, 13:30",http://en.kremlin.ru/events/president/trips/55764,Turkmenistan,Vladimir Putin arrives in Turkmenistan,Putin
"September 28, 2017, 22:30",http://en.kremlin.ru/events/president/trips/55730,Turkey,Russian-Turkish talks,Putin
"September 3, 2017, 13:45",http://en.kremlin.ru/events/president/trips/55559,People's Republic of China,Talks with President of China Xi Jinping,Putin
"August 28, 2017, 16:50",http://en.kremlin.ru/events/president/trips/55484,Hungary,Vladimir Putin arrived in Hungary,Putin
"July 27, 2017, 14:00",http://en.kremlin.ru/events/president/trips/55184,Finland,Vladimir Putin arrived in Finland,Putin
"July 7, 2017, 11:15",http://en.kremlin.ru/events/president/trips/55019,Germany,BRICS Leadersí Meeting,Putin
"June 8, 2017, 15:15",http://en.kremlin.ru/events/president/trips/54749,Kazakhstan,Vladimir Putin arrived in Astana,Putin
"May 29, 2017, 14:30",http://en.kremlin.ru/events/president/trips/54623,France,Vladimir Putin has arrived in Paris,Putin
"May 14, 2017, 05:20",http://en.kremlin.ru/events/president/trips/54504,People's Republic of China,Belt and Road international forum,Putin
"April 14, 2017, 12:20",http://en.kremlin.ru/events/president/trips/54299,Kyrgyzstan,Meeting of the Supreme Eurasian Economic Council,Putin
"February 28, 2017, 14:45",http://en.kremlin.ru/events/president/trips/53970,Kyrgyzstan,Russian-Kyrgyzstani talks,Putin
"February 27, 2017, 18:00",http://en.kremlin.ru/events/president/trips/53957,Tajikistan,Russian-Tajikistani talks,Putin
"February 27, 2017, 11:00",http://en.kremlin.ru/events/president/trips/53956,Kazakhstan,Meeting with President of Kazakhstan Nursultan Nazarbayev,Putin
"February 2, 2017, 18:50",http://en.kremlin.ru/events/president/trips/53807,Hungary,Joint news conference with Hungarian Prime Minister Viktor Orban,Putin
"December 15, 2016, 12:45",http://en.kremlin.ru/events/president/trips/53488,Japan,Meeting with Japanese Prime Minister Shinzo Abe,Putin
"November 19, 2016, 16:10",http://en.kremlin.ru/events/president/trips/53285,Peru,Vladimir Putin arrived in Peru to take part in the APEC Leadersí Meeting,Putin
"October 19, 2016, 19:10",http://en.kremlin.ru/events/president/trips/53129,Germany,Vladimir Putin arrives in Berlin,Putin
"October 15, 2016, 10:30",http://en.kremlin.ru/events/president/trips/53117,India,Speech at Russian-Indian expanded format talks,Putin
"October 14, 2016, 14:20",http://en.kremlin.ru/events/president/trips/53123,Armenia,Vladimir Putin arrived in Yerevan,Putin
"October 10, 2016, 16:00",http://en.kremlin.ru/events/president/trips/53074,Turkey,World Energy Congress in Istanbul,Putin
"October 4, 2016, 10:30",http://en.kremlin.ru/events/president/trips/53022,Kazakhstan,Meeting with President of Kazakhstan Nursultan Nazarbayev,Putin
"September 16, 2016, 18:00",http://en.kremlin.ru/events/president/trips/52917,Kyrgyzstan,Meeting of CIS Council of Heads of State,Putin
"September 3, 2016, 17:45",http://en.kremlin.ru/events/president/trips/52836,People's Republic of China,Vladimir Putin arrived in China,Putin
"August 8, 2016, 15:20",http://en.kremlin.ru/events/president/trips/52668,Azerbaijan,"Vladimir Putin has arrived in Baku to take part in a meeting of the presidents of Azerbaijan, Iran and Russia",Putin
"July 30, 2016, 17:30",http://en.kremlin.ru/events/president/trips/52628,Slovenia,100th anniversary of Russian chapel at Vröi? Pass,Putin
"July 1, 2016, 19:30",http://en.kremlin.ru/events/president/trips/52313,Finland,Press statements and answers to journalistsí questions following Russian-Finnish talks,Putin
"June 24, 2016, 21:30",http://en.kremlin.ru/events/president/trips/52277,People's Republic of China,Vladimir Putin has arrived in China,Putin
"June 23, 2016, 16:00",http://en.kremlin.ru/events/president/trips/52266,Uzbekistan,Meeting with Chinese President Xi Jinping and President of Mongolia Tsakhiagiin Elbegdorj,Putin
"June 8, 2016, 15:15",http://en.kremlin.ru/events/president/trips/52131,Belarus,Russian-Belarusian talks,Putin
"May 30, 2016, 23:10",http://en.kremlin.ru/events/president/trips/52057,Kazakhstan,Vladimir Putin arrived in Astana,Putin
"May 27, 2016, 17:50",http://en.kremlin.ru/events/president/trips/52034,Greece,Meeting with Greek President Prokopis Pavlopoulos,Putin
"February 25, 2016, 15:50",http://en.kremlin.ru/events/president/trips/51393,Belarus,Meeting with President of Belarus Alexander Lukashenko,Putin
"November 30, 2015, 16:00",http://en.kremlin.ru/events/president/trips/50859,France,Conference of the Parties to the UN Framework Convention on Climate Change,Putin
"November 23, 2015, 15:10",http://en.kremlin.ru/events/president/trips/50772,Iran,Talks with Supreme Leader of Iran Ali Khamenei,Putin
"November 15, 2015, 12:40",http://en.kremlin.ru/events/president/trips/50705,Turkey,Informal meeting of BRICS leaders,Putin
"October 14, 2015, 18:30",http://en.kremlin.ru/events/president/trips/50520,Kazakhstan,Vladimir Putin arrived in Astana,Putin
"October 2, 2015, 12:45",http://en.kremlin.ru/events/president/trips/50425,France,Vladimir Putin has arrived in Paris,Putin
"September 28, 2015, 19:25",http://en.kremlin.ru/events/president/trips/50395,United States,70th session of the UN General Assembly,Putin
"September 14, 2015, 21:30",http://en.kremlin.ru/events/president/trips/50294,Tajikistan,Vladimir Putin arrived in Tajikistan,Putin
"September 2, 2015, 13:00",http://en.kremlin.ru/events/president/trips/50244,People's Republic of China,Vladimir Putin arrived in Beijing,Putin
"June 12, 2015, 21:00",http://en.kremlin.ru/events/president/trips/49703,Azerbaijan,Opening ceremony of the First European Games,Putin
"June 10, 2015, 13:10",http://en.kremlin.ru/events/president/trips/49691,Italy,Opening of Russia Day at Expo 2015,Putin
"April 24, 2015, 01:30",http://en.kremlin.ru/events/president/trips/49338,Armenia,Vladimir Putin arrived in Yerevan,Putin
"March 20, 2015, 10:25",http://en.kremlin.ru/events/president/trips/49015,Kazakhstan,Meeting with President of Kazakhstan Nursultan Nazarbayev,Putin
"February 17, 2015, 23:30",http://en.kremlin.ru/events/president/trips/47707,Hungary,Working visit to Hungary,Putin
"February 12, 2015, 12:00",http://en.kremlin.ru/events/president/trips/47698,Belarus,Normandy format talks,Putin
"February 9, 2015, 21:40",http://en.kremlin.ru/events/president/trips/47656,Egypt,Vladimir Putin arrived in Egypt on an official visit,Putin
"December 11, 2014, 13:30",http://en.kremlin.ru/events/president/trips/47231,India,Russian-Indian talks,Putin
"December 10, 2014, 15:00",http://en.kremlin.ru/events/president/trips/47218,Uzbekistan,Russian-Uzbekistani talks,Putin
"December 1, 2014, 18:00",http://en.kremlin.ru/events/president/trips/47133,Turkey,Meeting with President of Turkey Recep Tayyip Erdogan,Putin
"November 14, 2014, 12:00",http://en.kremlin.ru/events/president/trips/47028,Australia,Interview to TASS News Agency,Putin
"November 9, 2014, 02:00",http://en.kremlin.ru/events/president/trips/46998,People's Republic of China,Vladimir Putin has arrived in Beijing,Putin
"October 16, 2014, 22:15",http://en.kremlin.ru/events/president/trips/46828,Italy,Vladimir Putin arrived in Milan to attend the ASEM Summit,Putin
"October 15, 2014, 23:00",http://en.kremlin.ru/events/president/trips/46814,Serbia,Interview to Politika newspaper,Putin
"October 10, 2014, 14:45",http://en.kremlin.ru/events/president/trips/47095,Belarus,Commonwealth of Independent States summit,Putin
"September 30, 2014, 14:00",http://en.kremlin.ru/events/president/trips/46704,Kazakhstan,Meeting with President of Kazakhstan Nursultan Nazarbayev,Putin
"September 11, 2014, 15:30",http://en.kremlin.ru/events/president/trips/46613,Tajikistan,Meeting with President of the Peopleís Republic of China Xi Jinping,Putin
"September 3, 2014, 14:00",http://en.kremlin.ru/events/president/trips/46559,Mongolia,Working visit to Mongolia,Putin
"August 26, 2014, 16:30",http://en.kremlin.ru/events/president/trips/46498,Belarus,Speech at the meeting of the Customs Union Heads of State with President of Ukraine and European Union representatives,Putin
"July 11, 2014, 01:00",http://en.kremlin.ru/events/president/trips/46239,Brazil,Interview to Prensa Latina and ITAR-TASS,Putin
"July 11, 2014, 01:00",http://en.kremlin.ru/events/president/trips/46238,Argentina,Interview to Prensa Latina and ITAR-TASS,Putin
"July 12, 2014, 05:00",http://en.kremlin.ru/events/president/trips/46205,Nicaragua,Visit to Nicaragua,Putin
"July 11, 2014, 01:00",http://en.kremlin.ru/events/president/trips/46204,Cuba,Interview to Prensa Latina and ITAR-TASS,Putin
"July 2, 2014, 19:00",http://en.kremlin.ru/events/president/trips/46143,Belarus,70th anniversary of the liberation of Belarus from Nazi occupation,Putin
"June 24, 2014, 21:10",http://en.kremlin.ru/events/president/trips/46066,Austria,Russian-Austrian talks,Putin
"June 5, 2014, 21:15",http://en.kremlin.ru/events/president/trips/45871,France,Meeting with Prime Minister of the United Kingdom David Cameron,Putin
"May 29, 2014, 12:20",http://en.kremlin.ru/events/president/trips/45794,Kazakhstan,Treaty on Eurasian Economic Union signed,Putin
"May 20, 2014, 10:30",http://en.kremlin.ru/events/president/trips/21062,People's Republic of China,Russian-Chinese talks,Putin
"April 29, 2014, 23:30",http://en.kremlin.ru/events/president/trips/20881,Belarus,Meeting of Supreme Eurasian Economic Council,Putin
"January 28, 2014, 20:20",http://en.kremlin.ru/events/president/trips/20118,Belgium,Russia-EU Summit,Putin
"December 2, 2013, 16:30",http://en.kremlin.ru/events/president/trips/19749,Armenia,Vladimir Putin visited the town of Gyumri as part of his state visit to Armenia,Putin
"November 25, 2013, 22:30",http://en.kremlin.ru/events/president/trips/19709,Italy,Visit to the Vatican,Putin
"November 13, 2013, 09:10",http://en.kremlin.ru/events/president/trips/19617,Republic of Korea,Meeting of the Russian-Korean Business Dialogue,Putin
"November 12, 2013, 17:30",http://en.kremlin.ru/events/president/trips/19608,Vietnam,Official visit to Vietnam,Putin
"October 24, 2013, 22:00",http://en.kremlin.ru/events/president/trips/19514,Belarus,Supreme Eurasian Economic Council meeting,Putin
"October 7, 2013, 13:30",http://en.kremlin.ru/events/president/trips/19383,Indonesia,Meeting with President of Indonesia Susilo Bambang Yudhoyono,Putin
"August 13, 2013, 18:15",http://en.kremlin.ru/events/president/trips/19032,Azerbaijan,Working visit to Azerbaijan,Putin
"July 27, 2013, 14:20",http://en.kremlin.ru/events/president/trips/18965,Ukraine,Beginning of meeting with President of Ukraine Viktor Yanukovych,Putin
"July 7, 2013, 02:00",http://en.kremlin.ru/events/president/trips/18720,Kazakhstan,Visit to Kazakhstan,Putin
"June 25, 2013, 18:30",http://en.kremlin.ru/events/president/trips/18409,Finland,Meeting with President of Finland Sauli Niinistˆ,Putin
"June 16, 2013, 19:45",http://en.kremlin.ru/events/president/trips/18362,United Kingdom,Presentation of awards to Arctic Convoys veterans,Putin
"May 28, 2013, 20:00",http://en.kremlin.ru/events/president/trips/18218,Kazakhstan,Vladimir Putin arrived in Astana to attend a Supreme Eurasian Economic Council meeting,Putin
"May 28, 2013, 13:00",http://en.kremlin.ru/events/president/trips/18209,Kyrgyzstan,Meeting with President of Kyrgyzstan Almazbek Atambayev,Putin
"April 8, 2013, 18:30",http://en.kremlin.ru/events/president/trips/17852,the Netherlands,Launch of the Year of Russia in the Netherlands and Year of the Netherlands in Russia,Putin
"April 7, 2013, 21:30",http://en.kremlin.ru/events/president/trips/17845,Germany,Vladimir Putin took part in the opening of the annual Hannover Messe,Putin
"March 21, 2013, 11:00",http://en.kremlin.ru/events/president/trips/17757,South Africa,Vladimir Putin approved Policy Concept on Russiaís participation in BRICS,Putin
"December 24, 2012, 16:00",http://en.kremlin.ru/events/president/trips/17186,India,Official visit to India,Putin
"December 5, 2012, 17:00",http://en.kremlin.ru/events/president/trips/17072,Turkmenistan,CIS summit,Putin
"December 3, 2012, 19:30",http://en.kremlin.ru/events/president/trips/17071,Turkey,Working visit to Turkey,Putin
"October 4, 2012, 23:15",http://en.kremlin.ru/events/president/trips/16603,Tajikistan,Vladimir Putin arrived in Dushanbe,Putin
"September 19, 2012, 16:00",http://en.kremlin.ru/events/president/trips/16505,Kazakhstan,Meeting with President of Kazakhstan Nursultan Nazarbayev,Putin
"September 20, 2012, 13:30",http://en.kremlin.ru/events/president/trips/16514,Kyrgyzstan,Visit to Kyrgyzstan,Putin
"August 2, 2012, 17:00",http://en.kremlin.ru/events/president/trips/16132,United Kingdom,Meeting with Prime Minister of the United Kingdom David Cameron,Putin
"July 12, 2012, 18:30",http://en.kremlin.ru/events/president/trips/15980,Ukraine,Visit to the camp of the Night Wolves Motoclub,Putin
"June 26, 2012, 21:30",http://en.kremlin.ru/events/president/trips/15769,Jordan,Visit to Jordan,Putin
"June 26, 2012, 14:30",http://en.kremlin.ru/events/president/trips/15767,Jordan,Visit to Palestine,Putin
"June 25, 2012, 14:00",http://en.kremlin.ru/events/president/trips/15743,Israel,Unveiling a monument marking the Red Armyís victory over Nazi Germany,Putin
"June 18, 2012, 15:00",http://en.kremlin.ru/events/president/trips/15702,Mexico,The G20 and global economic challenges,Putin
"June 7, 2012, 20:45",http://en.kremlin.ru/events/president/trips/15598,Kazakhstan,Official visit to Kazakhstan,Putin
"June 5, 2012, 02:00",http://en.kremlin.ru/events/president/trips/15572,People's Republic of China,Russia and China: New Horizons for Cooperation,Putin
"June 4, 2012, 21:45",http://en.kremlin.ru/events/president/trips/15551,Uzbekistan,Visit to Uzbekistan,Putin
"June 1, 2012, 23:30",http://en.kremlin.ru/events/president/trips/15527,France,Working visit to France,Putin
"June 1, 2012, 17:00",http://en.kremlin.ru/events/president/trips/15526,Germany,Working visit to Germany,Putin
"June 1, 2012, 12:00",http://en.kremlin.ru/events/president/trips/15522,Belarus,Official visit to Belarus,Putin
"March 28, 2012, 15:00",http://en.kremlin.ru/events/president/trips/14872,India,Meeting with President of South Africa Jacob Zuma,Dmitry Medvedev
"March 26, 2012, 08:30",http://en.kremlin.ru/events/president/trips/14860,Republic of Korea,Meeting with President of the United States Barack Obama,Dmitry Medvedev
"December 15, 2011, 17:30",http://en.kremlin.ru/events/president/trips/14013,Belgium,Russia-EU Summit,Dmitry Medvedev
"December 8, 2011, 14:00",http://en.kremlin.ru/events/president/trips/13923,Czech Republic,Official visit to the Czech Republic,Dmitry Medvedev
"November 12, 2011, 08:00",http://en.kremlin.ru/events/president/trips/13515,United States,Meeting with President of Peru Ollanta Humala,Dmitry Medvedev
"November 8, 2011, 14:00",http://en.kremlin.ru/events/president/trips/13436,Germany,Meeting with President of the Federal Republic of Germany Christian Wulff,Dmitry Medvedev
"November 3, 2011, 13:30",http://en.kremlin.ru/events/president/trips/13331,France,BRICS Summit,Dmitry Medvedev
"October 18, 2011, 15:00",http://en.kremlin.ru/events/president/trips/13104,Ukraine,Second Russian-Ukrainian Interregional Economic Forum,Dmitry Medvedev
"September 2, 2011, 12:30",http://en.kremlin.ru/events/president/trips/12556,Tajikistan,"Meeting of the Presidents of Russia, Afghanistan, Pakistan, and Tajikistan",Dmitry Medvedev
"August 12, 2011, 15:00",http://en.kremlin.ru/events/president/trips/12376,Kazakhstan,Informal CSTO summit,Dmitry Medvedev
"July 18, 2011, 23:00",http://en.kremlin.ru/events/president/trips/12025,Germany,Dmitry Medvedev arrived in Hannover,Dmitry Medvedev
"June 14, 2011, 17:30",http://en.kremlin.ru/events/president/trips/11581,Kazakhstan,Dmitry Medvedev arrived in Astana for SCO summit,Dmitry Medvedev
"June 14, 2011, 15:00",http://en.kremlin.ru/events/president/trips/11565,Uzbekistan,Visit to Uzbekistan,Dmitry Medvedev
"June 1, 2011, 21:00",http://en.kremlin.ru/events/president/trips/11439,Italy,Dmitry Medvedev arrived in Italy for a two-day visit,Dmitry Medvedev
"May 26, 2011, 11:40",http://en.kremlin.ru/events/president/trips/11373,France,G8 Summit has begun in Deauville,Dmitry Medvedev
"April 26, 2011, 13:30",http://en.kremlin.ru/events/president/trips/11096,Ukraine,Memorial events in Chernobyl,Dmitry Medvedev
"April 13, 2011, 08:30",http://en.kremlin.ru/events/president/trips/10949,People's Republic of China,Dmitry Medvedev arrived in China to take part in the BRICS summit and the Boao Forum for Asia,Dmitry Medvedev
"February 16, 2011, 18:30",http://en.kremlin.ru/events/president/trips/10381,Italy,Greetings to Russian-Italian Student Forum in Rome,Dmitry Medvedev
"January 26, 2011, 20:00",http://en.kremlin.ru/events/president/trips/10164,Switzerland,Meeting with International Business Council,Dmitry Medvedev
"January 19, 2011, 16:30",http://en.kremlin.ru/events/president/trips/10100,Jordan,Visit to Jordan,Dmitry Medvedev
"January 18, 2011, 18:00",http://en.kremlin.ru/events/president/trips/10108,State of Palestine,Visit to Palestinian Authority,Dmitry Medvedev
"December 21, 2010, 16:00",http://en.kremlin.ru/events/president/trips/9869,India,Official visit to India,Dmitry Medvedev
"December 8, 2010, 14:30",http://en.kremlin.ru/events/president/trips/9741,Belgium,Visit to Belgium,Dmitry Medvedev
"December 7, 2010, 19:00",http://en.kremlin.ru/events/president/trips/9732,Belgium,EU-Russia summit held in Brussels,Dmitry Medvedev
"December 6, 2010, 07:00",http://en.kremlin.ru/events/president/trips/9728,Poland,Interview to Polish media,Dmitry Medvedev
"November 20, 2010, 21:00",http://en.kremlin.ru/events/president/trips/9571,Portugal,Meeting of the NATO-Russia Council,Dmitry Medvedev
"November 18, 2010, 14:30",http://en.kremlin.ru/events/president/trips/9553,Azerbaijan,Meeting with President of Azerbaijan Ilham Aliyev,Dmitry Medvedev
"November 13, 2010, 12:00",http://en.kremlin.ru/events/president/trips/9506,Japan,First day of the APEC Leaders' Meeting,Dmitry Medvedev
"November 11, 2010, 06:00",http://en.kremlin.ru/events/president/trips/9490,Republic of Korea,G20 Business Summit,Dmitry Medvedev
"November 10, 2010, 10:00",http://en.kremlin.ru/events/president/trips/9479,Republic of Korea,Speech at the third meeting of the Korea-Russia forum,Dmitry Medvedev
"October 30, 2010, 04:00",http://en.kremlin.ru/events/president/trips/9387,Vietnam,Russia and Vietnam ñ Towards New Horizons of Cooperation,Dmitry Medvedev
"October 22, 2010, 13:15",http://en.kremlin.ru/events/president/trips/9319,Turkmenistan,Russian-Turkmenistani talks,Dmitry Medvedev
"October 18, 2010, 22:00",http://en.kremlin.ru/events/president/trips/9314,France,Dmitry Medvedev arrived in Deauville to participate in Russian-German-French summit,Dmitry Medvedev
"October 7, 2010, 10:00",http://en.kremlin.ru/events/president/trips/9189,Cyprus,Dmitry Medvedev addressed readers of Cypriot newspaper Phileleftheros,Dmitry Medvedev
"October 6, 2010, 19:30",http://en.kremlin.ru/events/president/trips/9167,Algeria,Official visit to Algeria,Dmitry Medvedev
"September 26, 2010, 01:00",http://en.kremlin.ru/events/president/trips/9071,People's Republic of China,Interview to Renmin Ribao,Dmitry Medvedev
"September 7, 2010, 11:00",http://en.kremlin.ru/events/president/trips/8845,Kazakhstan,Dmitry Medvedev and Nursultan Nazarbayev visited Russia-Kazakhstan Exhibition of Innovation Technology,Dmitry Medvedev
"September 2, 2010, 20:00",http://en.kremlin.ru/events/president/trips/8823,Azerbaijan,Dmitry Medvedev arrived in Baku on an official visit,Dmitry Medvedev
"August 19, 2010, 19:15",http://en.kremlin.ru/events/president/trips/8705,Armenia,Dmitry Medvedev arrived in Armenia on a state visit,Dmitry Medvedev
"July 23, 2010, 17:00",http://en.kremlin.ru/events/president/trips/8427,Italy,Russian-Italian talks,Dmitry Medvedev
"July 20, 2010, 19:00",http://en.kremlin.ru/events/president/trips/8397,Finland,Meeting with President of Finland Tarja Halonen,Dmitry Medvedev
"July 5, 2010, 10:30",http://en.kremlin.ru/events/president/trips/8279,Kazakhstan,"Statement on entry into force of the customs code of the Customs Union between Russia, Belarus and Kazakhstan",Dmitry Medvedev
"June 27, 2010, 03:00",http://en.kremlin.ru/events/president/trips/8183,Canada,Meeting with President of the People's Republic of China Hu Jintao,Dmitry Medvedev
"June 26, 2010, 02:00",http://en.kremlin.ru/events/president/trips/8175,Canada,First day of G8 summit drew to a close,Dmitry Medvedev
"June 18, 2010, 01:00",http://en.kremlin.ru/events/president/trips/8166,United States,Interview to the Wall Street Journal,Dmitry Medvedev
"June 10, 2010, 15:00",http://en.kremlin.ru/events/president/trips/8022,Uzbekistan,Meeting with President of Uzbekistan Islam Karimov,Dmitry Medvedev
"June 4, 2010, 22:00",http://en.kremlin.ru/events/president/trips/7974,Germany,Dmitry Medvedev arrived to Germany on a working visit,Dmitry Medvedev
"May 17, 2010, 21:00",http://en.kremlin.ru/events/president/trips/7787,Ukraine,Russian-Ukrainian summit talks,Dmitry Medvedev
"May 11, 2010, 20:00",http://en.kremlin.ru/events/president/trips/7731,Turkey,Dmitry Medvedev arrived in Turkey on an official visit,Dmitry Medvedev
"May 10, 2010, 22:30",http://en.kremlin.ru/events/president/trips/7712,Syria,Dmitry Medvedev arrived in Syria on an official visit,Dmitry Medvedev
"April 26, 2010, 23:00",http://en.kremlin.ru/events/president/trips/7573,Denmark,"Interview to Steffen Kretz, Danish Broadcasting Corporationís Senior International Editor and Anchor of TV News and Current Affairs Programme",Dmitry Medvedev
"April 26, 2010, 16:00",http://en.kremlin.ru/events/president/trips/7564,Norway,Dmitry Medvedev's two-day state visit to Norway has begun,Dmitry Medvedev
"April 21, 2010, 15:30",http://en.kremlin.ru/events/president/trips/7520,Ukraine,Dmitry Medvedev met with President of Ukraine Viktor Yanukovych,Dmitry Medvedev
"April 18, 2010, 16:00",http://en.kremlin.ru/events/president/trips/10779,Poland,Dmitry Medvedev met with Marshal of the Sejm of Poland Bronislaw Komorowski,Dmitry Medvedev
"April 16, 2010, 01:30",http://en.kremlin.ru/events/president/trips/7482,Brazil,Dmitry Medvedev met with President of the People's Republic of China Hu Jintao,Dmitry Medvedev
"April 15, 2010, 01:15",http://en.kremlin.ru/events/president/trips/7463,Argentina,Dmitry Medvedev met with Russian and Argentine business community members,Dmitry Medvedev
"April 13, 2010, 06:00",http://en.kremlin.ru/events/president/trips/7457,United States,Dmitry Medvedev met with President of Kazakhstan Nursultan Nazarbayev,Dmitry Medvedev
"April 7, 2010, 23:30",http://en.kremlin.ru/events/president/trips/7402,Czech Republic,Dmitry Medvedev met with President of Czech Republic Vaclav Klaus,Dmitry Medvedev
"April 6, 2010, 08:00",http://en.kremlin.ru/events/president/trips/7383,Slovakia,Mission: Partnership,Dmitry Medvedev
"March 1, 2010, 23:00",http://en.kremlin.ru/events/president/trips/7012,France,Russian-French summit talks took place during Dmitry Medvedev's state visit to France,Dmitry Medvedev
"December 22, 2009, 14:00",http://en.kremlin.ru/events/president/trips/6432,Turkmenistan,Talks were held between President of Russia Dmitry Medvedev and President of Turkmenistan Gurbanguly Berdimuhamedov,Dmitry Medvedev
